{cdb, bfe, abd, eaa, dcc, fej}
{cdb, bfe, dcc, ebd, faa, aej}
{abb, cdc, eaa, bce, ffd, dej}
{dda, abc, cfe, fcd, beb, eaj}
{abb, cdc, eaa, ffd, bej, dce}
{bfe, abd, cdc, ecb, faa, dej}
{bfe, feb, abd, cdc, dca, eaj}
{bcb, dda, ffd, eac, cbe, aej}
{dda, bbc, cfe, ecb, aad, fej}
{cdc, ebb, aad, dce, fej, bfa}
{cfd, dda, feb, abc, bce, eaj}
{dda, ebb, cac, bce, ffd, aej}
{feb, abd, cdc, dce, bfa, eaj}
{dda, bce, ffd, cab, ebc, aej}
{cdb, abc, eaa, bce, ffd, dej}
{cdb, bfe, abc, eaa, fcd, dej}
{cdb, bbc, eaa, ffd, dce, aej}
{dda, bfe, cab, fcd, ebc, aej}
{abb, bfe, cdc, eaa, fcd, dej}
{bcb, dda, abd, cfe, eac, fej}
{abb, dda, bec, cfe, fcd, eaj}
{dda, abd, cfe, ecb, bej, fac}
{cdb, abd, eac, dce, fej, bfa}
{cdb, aad, ebc, dce, fej, bfa}
{bfe, cdc, ecb, faa, dbd, aej}
{dda, bfe, abd, cac, ecb, fej}
{dda, cfe, bad, ecb, fbc, aej}
{cfd, abb, dda, bce, eac, fej}
{dda, bfe, ebb, cac, fcd, aej}
{cdb, abc, eaa, ffd, bej, dce}
{bfe, cdc, dca, ebb, aad, fej}
{bcb, dda, cfe, ebd, aej, fac}
{cdb, dbc, eaa, bce, ffd, aej}
{cdb, bfe, abd, dca, eac, fej}
{bcb, dda, cfe, aad, ebc, fej}
{cdb, ebd, dce, aej, fac, bfa}
{abb, dda, cfe, fcd, eac, bej}
{dda, abc, cfe, bad, ecb, fej}
{cdb, bfe, dca, ebd, aej, fac}
{cdb, bfe, dbc, eaa, fcd, aej}
{dda, cfe, ecb, aad, bej, fbc}
{cfd, dda, ebb, bce, aej, fac}
{dda, cfe, ecb, bbd, aej, fac}
{cdb, bfe, dca, aad, ebc, fej}
{dda, cfe, ecb, baf, fbc, aej}
{bcb, cfe, dbc, eaa, aej, fdf}
{bfe, abc, cdf, ecb, faa, dej}
{cdb, bfe, dcc, faa, aej, ebf}
{bfe, cba, ecb, dac, aej, fdf}
{bfe, feb, adf, dca, eac, cbj}
{bcb, cfe, eaa, fbc, ddf, aej}
{adf, cab, ebc, dce, fej, bfa}
{bfe, feb, adf, dca, ebc, caj}
{adf, cfe, dca, ebb, bej, fac}
{feb, bbc, adf, cfe, dca, eaj}
{abc, cfe, dca, fdf, beb, eaj}
{bfe, adf, dca, ebb, cac, fej}
{bfe, adf, dca, cab, ebc, fej}
{bcb, dda, cfe, aej, ebf, fac}
{bcb, cfe, faa, ddf, ebc, aej}
{bfe, cba, ecb, ddf, aej, fac}
{feb, adf, ebc, dce, bfa, caj}
{abb, cfe, eaa, dcc, bej, fdf}
{ebb, cac, aej, dce, fdf, bfa}
{feb, adf, eac, dce, cbj, bfa}
{abb, cdf, eac, dce, fej, bfa}
{bfe, dca, ebb, cdf, aej, fac}
{ecb, cbe, ddf, aej, fac, bfa}
{dda, abc, cfe, ecb, baf, fej}
{abc, cfe, ecb, bej, faa, ddf}
{bcb, dda, abc, cfe, fef, eaj}
{bec, adf, cfe, ecb, faa, dbj}
{cdb, bfe, abc, dca, fef, eaj}
{bfe, dbc, cdf, ecb, faa, aej}
{cdb, bfe, dca, aej, ebf, fac}
{bcb, adf, cfe, dbc, eaa, fej}
{bfe, dca, cab, ebc, aej, fdf}
{bcb, adf, cfe, faa, ebc, dej}
{ebb, cdf, aej, dce, fac, bfa}
{bfe, feb, abc, dca, cdf, eaj}
{adf, ebb, cac, dce, fej, bfa}
{adf, cfe, dca, fbc, beb, eaj}
{abb, bec, cfe, dca, fdf, eaj}
{adf, cfe, ebb, dcc, bej, faa}
{adf, ecb, dac, cbe, fej, bfa}
{cdb, dce, aej, ebf, fac, bfa}
{ecb, dac, cbe, aej, fdf, bfa}
{bcb, adf, cfe, eaa, fbc, dej}
{bfe, adf, cba, ecb, dac, fej}
{cdb, abc, fef, dce, bfa, eaj}
{abb, bfe, eaa, cdf, dcc, fej}
{bfe, adf, cba, ecb, dej, fac}
{bcb, abc, cfe, eaa, ddf, fej}
{adf, cfe, dbc, ecb, bej, faa}
{abb, cfe, dca, eac, bej, fdf}
{abb, cdc, fef, dce, bfa, eaj}
{abb, bfe, cdc, dca, fef, eaj}
{bfe, feb, adf, cba, dcc, eaj}
{feb, abc, cdf, dce, bfa, eaj}
{bbc, adf, cfe, ecb, faa, dej}
{bfe, dca, ebb, cac, aej, fdf}
{bfe, ebb, cdf, dcc, faa, aej}
{bbc, cfe, ecb, faa, ddf, aej}
{adf, ecb, cbe, dej, fac, bfa}
{feb, adf, dcc, cbe, bfa, eaj}
{bcb, abc, cfe, eaa, dej, fdf}
{abb, bfe, dca, cdf, eac, fej}
{dda, bfe, abc, ecb, fef, caj}
{cab, ebc, aej, dce, fdf, bfa}
{bfe, feb, adf, eaa, dcc, cbj}
{cac, ecb, dbd, aej, fdf, bfa}
{cdb, abd, dcc, fef, bfa, eaj}
{bcb, cfd, abc, eaa, dej, fdf}
{abd, cdf, ecb, dac, fej, bfa}
{adf, dca, ffd, cab, bej, ebc}
{bcb, cfd, faa, ddf, ebc, aej}
{adf, dca, ffd, ebc, caj, beb}
{bcb, cfd, adf, eaa, fbc, dej}
{cfd, adf, bbc, ecb, faa, dej}
{abd, cdf, ecb, dej, fac, bfa}
{cfd, abb, eaa, dcc, bej, fdf}
{deb, adf, fcd, ebc, bfa, caj}
{adf, ebb, cac, fcd, dej, bfa}
{bcb, cba, ffd, eac, ddf, aej}
{abd, cac, ecb, ddf, fej, bfa}
{ebb, cdf, dcc, aad, fej, bfa}
{bcb, adf, cba, ffd, eac, dej}
{bcb, cfd, adf, faa, ebc, dej}
{bcb, cfd, dda, abc, fef, eaj}
{cdb, fcd, dac, aej, ebf, bfa}
{cdb, dca, ffd, baf, ebc, aej}
{cdb, abc, def, fcd, bfa, eaj}
{adf, cba, dcc, ffd, beb, eaj}
{cfd, bec, adf, ecb, faa, dbj}
{ded, abc, ecb, fdf, bfa, caj}
{ded, adf, ecb, fbc, bfa, caj}
{bcb, cfd, dda, aej, ebf, fac}
